Id,name (London division.shp),Geometry (London division.shp),Geometry,Latitude (generated),Longitude (generated)
,,,MULTIPOLYGON,51.482184472,-0.101327262
99,Whitechapel,POLYGON,,51.516617003,-0.065410051
103,West Holland Park,POLYGON,,51.498932672,-0.208513279
91,Wapping,POLYGON,,51.508057676,-0.056828294
106,Vauxhall,POLYGON,,51.484943373,-0.126316264
161,Surrey Quays,POLYGON,,51.490718688,-0.052416308
166,Stoke Newington,POLYGON,,51.565961188,-0.065059162
260,South Hampstead,POLYGON,,51.549228653,-0.184589987
134,Shepherds Bush,POLYGON,,51.509384252,-0.221940436
130,Rush Common,POLYGON,,51.460102906,-0.110658825
72,Regent's Park,POLYGON,,51.533608393,-0.158647544
268,Queens Park,POLYGON,,51.543633079,-0.203960376
249,Peckham,POLYGON,,51.469401068,-0.067088918
111,Oval,POLYGON,,51.481415405,-0.113234388
164,Olympic Park,POLYGON,,51.531097132,-0.020540020
179,Old Kent Road,POLYGON,,51.489661510,-0.078059791
86,Notting Hill,POLYGON,,51.520392061,-0.205231671
81,Nine Elms,POLYGON,,51.481653720,-0.142452404
235,New Cross,POLYGON,,51.472610206,-0.039167978
90,Millwall,POLYGON,,51.491313438,-0.021635352
154,Maida Vale,POLYGON,,51.531235550,-0.181968589
143,Lower Clapton,POLYGON,,51.544980135,-0.056455646
135,Limehouse,POLYGON,,51.509540528,-0.037282429
123,Kings Cross,POLYGON,,51.537845331,-0.128422695
573,Kensal Green,POLYGON,,51.531660371,-0.228832903
94,Islington,POLYGON,,51.539634456,-0.104250118
105,Hoxton Rail Station,POLYGON,,51.533816415,-0.076172293
104,Hoxton,POLYGON,,51.539372615,-0.088534106
112,Holloway,POLYGON,,51.551246767,-0.126569206
126,Hammersmith,POLYGON,,51.492410050,-0.229913851
343,Hackney,POLYGON,,51.556938276,-0.039127141
140,Fulham,POLYGON,,51.476691843,-0.190679925
132,Finsbury Park,POLYGON,,51.561031006,-0.110585624
107,Elephant and Castle,POLYGON,,51.492173137,-0.097309866
129,East London,POLYGON,,51.531714312,-0.039814962
178,East Acton,POLYGON,,51.510778361,-0.239616661
93,Earls Court,POLYGON,,51.488871721,-0.199607085
83,Docklands,POLYGON,,51.510273634,-0.015690230
101,days shoreditch,POLYGON,,51.533330949,-0.065484714
114,Dalston,POLYGON,,51.548729168,-0.075893020
147,Craven Cottage; Fulham Football Club,POLYGON,,51.479064199,-0.213606137
171,Clapham North,POLYGON,,51.468155129,-0.131253151
175,Clapham Junction,POLYGON,,51.464002363,-0.169566001
124,Chelsea,POLYGON,,51.484387753,-0.171390172
118,Chalk Farm,POLYGON,,51.549343665,-0.146247759
156,Central Park Hotel Finsbury Park,POLYGON,,51.561648003,-0.091671323
63,Camden Town,POLYGON,,51.537513275,-0.139676437
163,Camberwell,POLYGON,,51.472634160,-0.093448502
76,Burton Court,POLYGON,,51.484190153,-0.158107710
97,Bethnal Green,POLYGON,,51.524641981,-0.052941575
78,Bermondsey,POLYGON,,51.501415957,-0.070042310
153,Belsize Park,POLYGON,,51.549651280,-0.163880831
146,Battersea,POLYGON,,51.462884906,-0.150920367
84,Barnsbury,POLYGON,,51.537626703,-0.118747130
